Emp_ID,PWM_Value,Mean,Blur,Texture,Status,Max High Texture,Min High Texture,Max low Texture,Min low Texture,texture_framecount,texture_iriscount,average_textureff,max_texture_iris_count,max_high_meanvalue,min_high_meanvalue,max_low_meanvalue,min_low_meanvalue,average_high_mean,average_low_mean,iris_mean,pupil_mean,mean ratio,Laplcian count,max_lap,min_lap,magnitude,average_mag
MN00,17,231,1613,211.172548,Not Captured,216.249374,211.172546,179.482712,177.282043,278,152,687,425,236,231,200,198,232,199,197.000000,118.000000,1.669492,0.000000,0.000000,0.000000,14.000000,21
MN00,17,231,1589,211.182628,Not Captured,216.249374,211.172546,179.482712,177.282043,306,141,687,425,236,231,200,198,232,199,198.000000,123.000000,1.609756,0.000000,0.000000,0.000000,15.000000,21
MN00,11,198,3700,177.282037,Not Captured,216.249374,211.172546,179.482712,177.282043,1344,255,687,425,236,231,200,198,232,199,132.000000,79.000000,1.670886,0.000000,0.000000,0.000000,28.000000,21
MN00,11,198,3672,178.131973,Not Captured,216.249374,211.172546,179.482712,177.282043,716,165,687,425,236,231,200,198,232,199,133.000000,79.000000,1.683544,0.000000,0.000000,0.000000,27.000000,21
MN00,11,199,3653,178.381461,Not Captured,216.249374,211.172546,179.482712,177.282043,675,154,687,425,236,231,200,198,232,199,133.000000,79.000000,1.683544,0.000000,0.000000,0.000000,26.000000,21
MN00,11,199,3634,178.703690,Not Captured,216.249374,211.172546,179.482712,177.282043,944,172,687,425,236,231,200,198,232,199,133.000000,79.000000,1.683544,0.000000,0.000000,0.000000,26.000000,21
MN00,11,199,3620,178.662419,Not Captured,216.249374,211.172546,179.482712,177.282043,552,121,687,425,236,231,200,198,232,199,133.000000,79.000000,1.683544,0.000000,0.000000,0.000000,24.000000,21
MN00,11,200,3581,178.425368,Not Captured,216.249374,211.172546,179.482712,177.282043,1817,425,687,425,236,231,200,198,232,199,134.000000,81.000000,1.654321,0.000000,0.000000,0.000000,28.000000,21
MN00,11,200,3535,179.482706,Not Captured,216.249374,211.172546,179.482712,177.282043,587,169,687,425,236,231,200,198,232,199,134.000000,82.000000,1.634146,0.000000,0.000000,0.000000,25.000000,21

MN00,17,207,3517,187.911331,Captured,187.911331,187.531738,139.430542,139.423447,750,142,702,142,207,207,151,151,207,151,140.000000,46.000000,3.043478,0.000000,0.000000,0.000000,27.000000,31
MN00,17,207,3512,187.531738,Captured,187.911331,187.531738,139.430542,139.423447,416,122,702,142,207,207,151,151,207,151,140.000000,47.000000,2.978723,0.000000,0.000000,0.000000,24.000000,31
MN00,11,151,3846,139.423450,Captured,187.911331,187.531738,139.430542,139.423447,898,142,702,142,207,207,151,151,207,151,86.000000,23.000000,3.739130,0.000000,0.000000,0.000000,38.000000,31
MN00,11,151,3829,139.430543,Captured,187.911331,187.531738,139.430542,139.423447,745,125,702,142,207,207,151,151,207,151,86.000000,22.000000,3.909091,0.000000,0.000000,0.000000,37.000000,31

MN00,17,209,3401,183.537139,Captured,183.856415,183.537140,139.886017,139.787781,664,165,648,180,209,209,149,148,209,148,142.000000,49.000000,2.897959,0.000000,0.000000,0.000000,29.000000,33
MN00,17,209,3390,183.856409,Captured,183.856415,183.537140,139.886017,139.787781,648,176,648,180,209,209,149,148,209,148,141.000000,49.000000,2.877551,0.000000,0.000000,0.000000,29.000000,33
MN00,11,148,3445,139.886016,Captured,183.856415,183.537140,139.886017,139.787781,605,169,648,180,209,209,149,148,209,148,87.000000,25.000000,3.480000,0.000000,0.000000,0.000000,36.000000,33
MN00,11,149,3463,139.787788,Captured,183.856415,183.537140,139.886017,139.787781,678,180,648,180,209,209,149,148,209,148,87.000000,24.000000,3.625000,0.000000,0.000000,0.000000,38.000000,33

MN00,17,206,3166,182.913652,Captured,182.913651,182.370743,139.429916,139.348114,422,165,491,185,206,206,149,149,206,149,154.000000,48.000000,3.208333,0.000000,0.000000,0.000000,26.000000,30
MN00,17,206,3180,182.370739,Captured,182.913651,182.370743,139.429916,139.348114,408,185,491,185,206,206,149,149,206,149,154.000000,47.000000,3.276596,0.000000,0.000000,0.000000,26.000000,30
MN00,11,149,3700,139.429916,Captured,182.913651,182.370743,139.429916,139.348114,560,148,491,185,206,206,149,149,206,149,94.000000,22.000000,4.272727,0.000000,0.000000,0.000000,35.000000,30
MN00,11,149,3709,139.348120,Captured,182.913651,182.370743,139.429916,139.348114,574,172,491,185,206,206,149,149,206,149,93.000000,22.000000,4.227273,0.000000,0.000000,0.000000,35.000000,30

MN00,17,215,2876,191.844883,Captured,191.877991,191.844879,138.742569,138.450882,316,122,416,135,215,215,156,156,215,156,147.000000,50.000000,2.940000,0.000000,0.000000,0.000000,22.000000,29
MN00,17,215,2889,191.877989,Captured,191.877991,191.844879,138.742569,138.450882,354,135,416,135,215,215,156,156,215,156,147.000000,50.000000,2.940000,0.000000,0.000000,0.000000,23.000000,29
MN00,11,156,3351,138.450883,Captured,191.877991,191.844879,138.742569,138.450882,521,103,416,135,215,215,156,156,215,156,89.000000,26.000000,3.423077,0.000000,0.000000,0.000000,37.000000,29
MN00,11,156,3377,138.742566,Captured,191.877991,191.844879,138.742569,138.450882,474,92,416,135,215,215,156,156,215,156,90.000000,25.000000,3.600000,0.000000,0.000000,0.000000,34.000000,29

